Norway, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 19/04/2023
Year    Age        Exposure
1993     55        19672.81
1994     12        25596.23
1994     13        25694.94
1994     14        25525.02
1994     15        25982.67
1994     16        25547.65
1994     17        26342.32
1994     18        27537.20
1994     19        29155.08
1994     20        30648.30
1994     21        31613.27
1994     22        32744.64
1994     23        32738.25
1994     24        33194.26
1994     25        34222.91
1994     26        33564.29
1994     27        33301.90
1994     28        33356.37
1994     29        33018.38
1994     30        32183.72
1994     31        31747.53
1994     32        31150.14
1994     33        30918.33
1994     34        30965.84
1994     35        31159.85
1994     36        31208.24
1994     37        31200.04
1994     38        31192.48
1994     39        30765.12
1994     40        30289.17
1994     41        30382.56
1994     42        28946.61
1994     43        29046.71
1994     44        29509.37
1994     45        29696.14
1994     46        30582.36
1994     47        31754.42
1994     48        31157.63
1994     49        28489.66
1994     50        26902.81
1994     51        23810.18
1994     52        21738.09
1994     53        20409.90
1994     54        20822.09
1994     55        20280.71
1995     12        25172.42
1995     13        25643.00
1995     14        25731.26
1995     15        25577.75
1995     16        26046.54
1995     17        25688.31
1995     18        26467.09
1995     19        27589.64
1995     20        29329.39
1995     21        30729.95
1995     22        31728.55
1995     23        32912.26
1995     24        32880.63
1995     25        33345.89
1995     26        34350.26
1995     27        33666.87
1995     28        33392.86
1995     29        33455.58
1995     30        33132.94
1995     31        32276.50
1995     32        31800.79
1995     33        31212.72
1995     34        30952.91
1995     35        31015.63
1995     36        31192.52
1995     37        31264.91
1995     38        31224.51
1995     39        31215.85
1995     40        30786.77
1995     41        30283.05
1995     42        30398.08
1995     43        28951.56
1995     44        29032.68
1995     45        29510.79
1995     46        29665.85
1995     47        30520.29
1995     48        31701.10
1995     49        31088.61
1995     50        28417.03
1995     51        26832.50
1995     52        23748.27
1995     53        21699.50
1995     54        20365.25
1995     55        20756.13
1996     12        25207.03
1996     13        25206.09
1996     14        25662.19
1996     15        25757.38
1996     16        25649.23
1996     17        26189.01
1996     18        25826.12
1996     19        26543.50
1996     20        27739.77
1996     21        29418.51
1996     22        30813.15
1996     23        31910.25
1996     24        33002.56
1996     25        33040.31
1996     26        33495.15
1996     27        34475.64
1996     28        33777.92
1996     29        33499.80
1996     30        33560.08
1996     31        33229.94
1996     32        32304.74
1996     33        31839.88
1996     34        31233.13
1996     35        30979.57
1996     36        31049.97
1996     37        31220.33
1996     38        31277.15
1996     39        31212.36
1996     40        31201.28
1996     41        30758.56
1996     42        30283.66
1996     43        30400.00
1996     44        28938.32
1996     45        29013.42
1996     46        29466.64
1996     47        29605.14
1996     48        30482.36
1996     49        31628.20
1996     50        31005.70
1996     51        28342.16
1996     52        26760.80
1996     53        23680.91
1996     54        21649.86
1996     55        20268.97
1997     12        25540.92
1997     13        25232.54
1997     14        25255.53
1997     15        25693.75
1997     16        25832.28
1997     17        25793.11
1997     18        26305.51
1997     19        25967.60
1997     20        26707.17
1997     21        27845.03
1997     22        29553.23
1997     23        30999.71
1997     24        32069.63
1997     25        33200.39
1997     26        33238.79
1997     27        33686.64
1997     28        34633.56
1997     29        33897.48
1997     30        33604.30
1997     31        33671.09
1997     32        33284.05
1997     33        32367.76
1997     34        31896.80
1997     35        31261.75
1997     36        31021.19
1997     37        31081.65
1997     38        31257.82
1997     39        31264.27
1997     40        31224.47
1997     41        31202.21
1997     42        30770.79
1997     43        30276.52
1997     44        30376.86
1997     45        28905.74
1997     46        28960.01
1997     47        29422.15
1997     48        29563.63
1997     49        30418.67
1997     50        31553.62
1997     51        30925.13
1997     52        28264.83
1997     53        26682.99
1997     54        23606.61
1997     55        21560.41
1998     12        25940.16
1998     13        25586.92
1998     14        25300.51
1998     15        25305.24
1998     16        25782.31
