Finland, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 06/09/2023
Year    Age        Exposure
1956     35        32032.40
1956     36        29402.74
1956     37        25007.42
1956     38        28708.73
1956     39        28188.85
1956     40        27704.84
1956     41        29305.99
1956     42        29810.81
1956     43        30357.31
1956     44        30779.31
1956     45        30624.65
1956     46        30535.40
1956     47        30363.75
1956     48        29591.48
1956     49        29092.61
1956     50        27530.97
1956     51        26879.96
1956     52        25797.57
1956     53        24347.30
1956     54        24399.93
1956     55        23587.79
1957     12        36976.36
1957     13        35393.79
1957     14        31108.95
1957     15        33946.27
1957     16        33583.01
1957     17        33772.56
1957     18        33655.89
1957     19        32308.82
1957     20        30289.17
1957     21        30206.64
1957     22        29764.74
1957     23        28435.25
1957     24        28438.38
1957     25        29796.90
1957     26        31095.93
1957     27        31792.10
1957     28        32010.53
1957     29        31090.59
1957     30        30524.85
1957     31        31097.40
1957     32        30939.41
1957     33        31820.38
1957     34        31100.49
1957     35        31286.67
1957     36        31925.13
1957     37        29289.96
1957     38        24935.26
1957     39        28617.31
1957     40        28095.64
1957     41        27609.15
1957     42        29206.92
1957     43        29703.75
1957     44        30245.10
1957     45        30672.35
1957     46        30507.05
1957     47        30414.31
1957     48        30216.99
1957     49        29424.37
1957     50        28940.07
1957     51        27372.88
1957     52        26726.89
1957     53        25614.26
1957     54        24171.99
1957     55        24222.49
1958     12        50203.58
1958     13        36989.96
1958     14        35402.31
1958     15        31087.84
1958     16        33880.06
1958     17        33476.14
1958     18        33591.60
1958     19        33418.18
1958     20        32024.94
1958     21        29999.08
1958     22        29910.09
1958     23        29448.19
1958     24        28123.18
1958     25        28135.03
1958     26        29508.00
1958     27        30818.04
1958     28        31554.47
1958     29        31808.43
1958     30        30903.71
1958     31        30367.36
1958     32        30948.51
1958     33        30771.11
1958     34        31672.62
1958     35        30980.21
1958     36        31162.72
1958     37        31789.27
1958     38        29185.89
1958     39        24846.48
1958     40        28511.58
1958     41        27981.41
1958     42        27487.62
1958     43        29080.51
1958     44        29591.75
1958     45        30122.84
1958     46        30557.95
1958     47        30378.41
1958     48        30282.88
1958     49        30052.26
1958     50        29253.96
1958     51        28775.95
1958     52        27219.33
1958     53        26544.99
1958     54        25434.12
1958     55        23972.16
1959     12        49205.10
1959     13        50181.51
1959     14        37027.62
1959     15        35418.28
1959     16        31073.29
1959     17        33809.97
1959     18        33357.16
1959     19        33378.53
1959     20        33148.19
1959     21        31725.63
1959     22        29679.13
1959     23        29589.95
1959     24        29119.01
1959     25        27781.18
1959     26        27821.28
1959     27        29203.57
1959     28        30531.52
1959     29        31303.78
1959     30        31603.33
1959     31        30718.47
1959     32        30209.35
1959     33        30797.99
1959     34        30623.62
1959     35        31540.80
1959     36        30864.84
1959     37        31043.53
1959     38        31661.30
1959     39        29078.03
1959     40        24751.06
1959     41        28405.15
1959     42        27862.30
