"Country","Year","Age","ASFR"
"FIN",1957,40,0.04627
"FIN",1957,41,0.03803
"FIN",1957,42,0.0289
"FIN",1957,43,0.0201
"FIN",1957,44,0.01425
"FIN",1957,45,0.00844
"FIN",1957,46,0.00459
"FIN",1957,47,0.00151
"FIN",1957,48,0.00069
"FIN",1957,49,0.00027
"FIN",1957,50,0.00014
"FIN",1957,51,7e-05
"FIN",1957,52,2e-05
"FIN",1957,53,1e-05
"FIN",1957,54,1e-05
"FIN",1957,55,0
"FIN",1958,12,0
"FIN",1958,13,0
"FIN",1958,14,8e-05
"FIN",1958,15,0.00048
"FIN",1958,16,0.00337
"FIN",1958,17,0.01509
"FIN",1958,18,0.04335
"FIN",1958,19,0.08394
"FIN",1958,20,0.11795
"FIN",1958,21,0.14562
"FIN",1958,22,0.16571
"FIN",1958,23,0.17409
"FIN",1958,24,0.17237
"FIN",1958,25,0.17268
"FIN",1958,26,0.16645
"FIN",1958,27,0.15428
"FIN",1958,28,0.14589
"FIN",1958,29,0.13048
"FIN",1958,30,0.12585
"FIN",1958,31,0.11006
"FIN",1958,32,0.09972
"FIN",1958,33,0.09562
"FIN",1958,34,0.08415
"FIN",1958,35,0.08054
"FIN",1958,36,0.07186
"FIN",1958,37,0.06559
"FIN",1958,38,0.05856
"FIN",1958,39,0.04738
"FIN",1958,40,0.04216
"FIN",1958,41,0.03449
"FIN",1958,42,0.02707
"FIN",1958,43,0.0194
"FIN",1958,44,0.01291
"FIN",1958,45,0.0075
"FIN",1958,46,0.00367
"FIN",1958,47,0.00142
"FIN",1958,48,5e-04
"FIN",1958,49,1e-04
"FIN",1958,50,0.00014
"FIN",1958,51,3e-05
"FIN",1958,52,3e-05
"FIN",1958,53,2e-05
"FIN",1958,54,1e-05
"FIN",1958,55,1e-05
"FIN",1959,12,0
"FIN",1959,13,2e-05
"FIN",1959,14,8e-05
"FIN",1959,15,0.00037
"FIN",1959,16,0.00341
"FIN",1959,17,0.01754
"FIN",1959,18,0.04386
"FIN",1959,19,0.08338
"FIN",1959,20,0.12336
"FIN",1959,21,0.15345
"FIN",1959,22,0.17087
"FIN",1959,23,0.17963
"FIN",1959,24,0.18409
"FIN",1959,25,0.1788
"FIN",1959,26,0.17193
"FIN",1959,27,0.15749
"FIN",1959,28,0.1494
"FIN",1959,29,0.13725
"FIN",1959,30,0.12519
"FIN",1959,31,0.11831
"FIN",1959,32,0.10375
"FIN",1959,33,0.09764
"FIN",1959,34,0.08553
"FIN",1959,35,0.07933
"FIN",1959,36,0.07342
"FIN",1959,37,0.06385
"FIN",1959,38,0.05714
"FIN",1959,39,0.05004
"FIN",1959,40,0.04259
"FIN",1959,41,0.03422
"FIN",1959,42,0.02649
"FIN",1959,43,0.01798
"FIN",1959,44,0.01208
"FIN",1959,45,0.0076
"FIN",1959,46,0.00337
"FIN",1959,47,0.00174
"FIN",1959,48,0.00056
"FIN",1959,49,0.00027
"FIN",1959,50,1e-04
"FIN",1959,51,0
"FIN",1959,52,0
"FIN",1959,53,0
"FIN",1959,54,0
"FIN",1959,55,0
"FIN",1960,12,0
"FIN",1960,13,4e-05
"FIN",1960,14,0.00014
"FIN",1960,15,0.00062
"FIN",1960,16,0.0035
"FIN",1960,17,0.01643
"FIN",1960,18,0.04794
"FIN",1960,19,0.08121
"FIN",1960,20,0.12442
"FIN",1960,21,0.14997
"FIN",1960,22,0.17435
"FIN",1960,23,0.18058
"FIN",1960,24,0.1823
"FIN",1960,25,0.17949
"FIN",1960,26,0.17296
"FIN",1960,27,0.15806
"FIN",1960,28,0.14959
